#{"t_start": 1754369652.165635, "env_id": "None"}
r,l,t
422.944245,300,15.611303
422.460016,300,21.260971
422.977774,300,26.700275
422.741671,300,32.000546
422.143835,300,60.462299
456.440448,324,69.205964
456.681603,324,74.923712
456.881197,324,80.662281
455.920189,324,110.767306
456.922095,324,119.026062
490.544616,348,125.243513
491.544315,348,153.409944
490.542655,348,165.574956
491.507146,348,172.875992
490.984924,348,178.677572
524.927086,372,209.67089
524.24335,372,215.982901
524.890746,372,224.718158
524.557106,372,250.291784
524.65163,372,259.341926
558.753239,396,265.776375
558.032318,396,297.499106
558.234141,396,304.352946
558.882663,396,313.571526
557.790956,396,320.063975
591.959929,420,352.693202
590.717642,420,362.40737
592.328251,420,369.40428
591.478014,420,402.960413
592.199963,420,413.026034
625.865809,444,420.332653
626.34684,444,456.075766
625.941699,444,468.330772
626.838614,444,519.646475
