#{"t_start": 1754369651.568858, "env_id": "None"}
r,l,t
423.79013,300,16.204345
424.382814,300,21.856211
423.829135,300,27.300243
423.697332,300,32.595641
423.902133,300,61.05759
457.990586,324,69.792415
456.987737,324,75.519196
458.062327,324,81.253114
457.156904,324,111.368002
457.951879,324,119.621325
491.566949,348,125.835743
491.643294,348,154.008961
490.528953,348,166.174758
491.84486,348,173.469276
490.844569,348,179.276435
525.072519,372,210.264162
524.030735,372,216.584275
525.588753,372,225.319624
525.832973,372,250.897102
524.479099,372,259.940263
559.644687,396,266.378381
560.364247,396,298.097077
558.642014,396,304.954638
559.881794,396,314.171721
559.645897,396,320.65889
593.890682,420,353.284229
594.133276,420,363.0004
593.449094,420,369.996473
593.83452,420,403.558801
593.559441,420,413.622371
628.256576,444,420.925601
626.90085,444,456.67666
627.34986,444,468.927992
629.118395,444,520.24355
