#{"t_start": 1754369652.4079053, "env_id": "None"}
r,l,t
421.330225,300,15.369156
421.774683,300,21.021922
421.052285,300,26.457264
421.533091,300,31.756361
421.533713,300,60.221514
454.094397,324,68.949483
454.335899,324,74.685148
454.500725,324,80.419384
454.261309,324,110.528601
453.778893,324,118.781468
488.996625,348,124.998803
489.124952,348,153.169807
488.847033,348,165.337811
489.366085,348,172.636575
488.050082,348,178.430445
522.289555,372,209.424721
523.364304,372,215.743864
522.214083,372,224.487493
523.124721,372,250.05324
523.176479,372,259.097502
556.88934,396,265.531529
556.649572,396,297.25167
556.92747,396,304.114288
557.168139,396,313.33492
557.019264,396,319.818694
590.986768,420,352.445384
590.985891,420,362.167989
591.023838,420,369.156768
591.264687,420,402.713617
591.227795,420,412.785092
624.791517,444,420.096364
625.106984,444,455.833419
624.661891,444,468.088158
625.801348,444,519.404097
