#{"t_start": 1754369652.1866019, "env_id": "None"}
r,l,t
424.057617,300,15.590557
423.130009,300,21.234276
422.777418,300,26.681003
423.816153,300,31.974052
422.848226,300,60.442036
457.547688,324,69.172157
457.862208,324,74.902859
457.826356,324,80.638855
456.99403,324,110.743846
457.070178,324,119.006691
490.786482,348,125.220973
491.63725,348,153.382964
490.822565,348,165.558685
490.469972,348,172.852189
490.263447,348,178.658057
525.168298,372,209.645065
525.004141,372,215.960831
525.116829,372,224.697166
525.076857,372,250.277272
524.485954,372,259.31635
559.917742,396,265.757779
559.549515,396,297.469103
558.156046,396,304.330694
558.677417,396,313.549589
559.510094,396,320.047133
592.498145,420,352.667101
592.498862,420,362.390214
592.738922,420,369.379684
592.369832,420,402.937631
592.258286,420,413.003563
626.189831,444,420.3167
626.319454,444,456.056872
625.522599,444,468.310794
627.291974,444,519.625541
