#{"t_start": 1754369651.7918458, "env_id": "None"}
r,l,t
424.680964,300,15.984685
424.552264,300,21.641301
424.719697,300,27.073758
424.36561,300,32.367274
424.514656,300,60.833729
458.773538,324,69.574262
458.939366,324,75.300692
459.177475,324,81.03667
459.529692,324,111.140305
458.730849,324,119.39662
492.365297,348,125.610026
492.84949,348,153.781264
492.682982,348,165.950012
491.717741,348,173.249389
492.884507,348,179.047
526.886812,372,210.045542
525.471973,372,216.358572
526.792564,372,225.100719
526.404272,372,250.672201
526.718999,372,259.722284
561.36263,396,266.156011
560.682701,396,297.873742
560.642752,396,304.736449
560.368505,396,313.956779
561.085766,396,320.440391
594.23632,420,353.062626
594.998329,420,362.777399
595.272969,420,369.77785
594.99827,420,403.340692
594.2016,420,413.399301
628.572252,444,420.713565
628.642507,444,456.450442
628.700254,444,468.706269
629.747357,444,520.020178
