#{"t_start": 1754369651.8111198, "env_id": "None"}
r,l,t
425.250464,300,15.963231
425.455971,300,21.61955
425.37951,300,27.056701
423.343204,300,32.354159
425.418414,300,60.820586
458.746047,324,69.559994
459.267655,324,75.278347
459.225081,324,81.014007
459.15322,324,111.125171
458.874582,324,119.377167
492.608909,348,125.599832
492.333367,348,153.768831
492.647987,348,165.933219
493.298404,348,173.231568
493.781614,348,179.038968
527.249941,372,210.025476
527.455266,372,216.337845
527.326444,372,225.085615
526.417878,372,250.650757
526.769092,372,259.698801
561.514137,396,266.133059
560.828766,396,297.854218
561.234424,396,304.713572
560.882754,396,313.940745
560.995333,396,320.415479
595.690057,420,353.046502
595.895169,420,362.761496
595.486278,420,369.757933
595.578227,420,403.3142
595.85699,420,413.38275
629.303826,444,420.687596
629.304906,444,456.429871
628.822784,444,468.685349
630.241359,444,520.001058
