#{"t_start": 1754369651.564106, "env_id": "None"}
r,l,t
424.463192,300,16.209705
424.499568,300,21.870525
424.74056,300,27.301128
424.497698,300,32.597187
424.011935,300,61.066622
458.571319,324,69.802324
458.495667,324,75.527341
458.608791,324,81.261017
458.849449,324,111.370544
458.367144,324,119.624067
491.442514,348,125.846016
490.814979,348,154.013332
490.814007,348,166.179332
491.371251,348,173.479607
490.611476,348,179.277461
524.828093,372,210.274268
525.513705,372,216.584355
525.232971,372,225.335513
525.827781,372,250.900699
525.311039,372,259.943523
558.91771,396,266.380361
559.398496,396,298.104578
558.39696,396,304.959146
559.677208,396,314.177709
559.879185,396,320.670392
594.064097,420,353.296435
593.101642,420,363.015601
593.305792,420,370.002205
593.343076,420,403.562373
593.139472,420,413.62724
627.303851,444,420.929347
627.38009,444,456.682301
627.545769,444,468.931907
628.278101,444,520.250144
