#{"t_start": 1754369652.0826466, "env_id": "None"}
r,l,t
425.313515,300,15.691903
424.997543,300,21.341176
425.585414,300,26.780198
425.348254,300,32.079357
425.423882,300,60.544869
458.836287,324,69.281727
458.280229,324,75.008427
459.725223,324,80.744833
458.964515,324,110.851815
459.078226,324,119.108278
492.742149,348,125.319165
491.182515,348,153.488439
492.70461,348,165.664611
492.538007,348,172.962181
492.016889,348,178.756972
526.548991,372,209.75512
526.345263,372,216.070283
526.549298,372,224.814685
525.900684,372,250.383438
526.584571,372,259.423652
560.813274,396,265.858674
561.017119,396,297.585174
560.813767,396,304.438996
561.129347,396,313.661006
560.942012,396,320.1512
593.575195,420,352.774704
594.372036,420,362.497048
593.371555,420,369.484122
593.611646,420,403.039185
593.612992,420,413.108747
628.214872,444,420.42248
628.251691,444,456.159897
627.249418,444,468.416669
629.15207,444,519.729468
