#{"t_start": 1750208091.6472802, "env_id": "None"}
r,l,t
170.864072,98,8.313699
175.446459,100,8.925199
181.992507,105,9.476351
180.704602,104,9.885449
191.245699,109,10.567799
188.6084,107,11.432467
188.609834,107,11.88949
162.254983,93,12.260515
172.265768,99,12.640148
182.703454,104,13.057456
182.095912,105,13.479828
175.409508,100,13.879152
172.797803,98,14.70576
193.899922,111,15.135419
184.675159,107,15.581113
182.66986,104,15.98909
176.76359,101,16.371722
189.942895,108,16.776334
175.440539,100,17.157196
184.038112,105,30.91017
175.467887,100,31.311967
184.09818,105,31.712037
165.630278,94,32.140347
191.845805,108,32.610402
175.553041,100,33.426432
182.703052,104,33.842031
184.063203,105,34.310361
176.728854,101,34.734224
188.570606,107,35.166421
185.349233,106,35.594486
168.176526,96,35.996612
198.507705,113,36.447904
169.606752,97,36.83689
191.289923,109,37.272593
185.382179,106,37.707257
181.384463,103,38.125521
179.416818,103,38.936513
174.116557,99,39.323987
176.729739,101,39.720777
188.556528,107,54.44473
168.250843,96,54.871878
182.066405,105,55.335941
188.025969,108,55.826652
185.965387,105,56.294003
176.770845,101,56.7454
181.270116,103,57.200855
197.151917,112,57.700907
178.011966,102,58.161038
175.476829,100,59.023228
176.842367,101,59.473556
182.702553,104,59.963324
170.073018,96,60.406784
191.252607,109,60.923159
193.932366,111,61.415928
186.682107,107,61.887025
180.016759,102,62.342802
182.735771,104,62.799991
181.343223,103,63.255247
175.400935,100,63.713027
182.629558,104,78.597952
185.958841,105,79.809088
173.591327,100,80.260711
185.317471,106,80.7705
187.266078,106,81.255504
169.605749,97,81.680444
180.103558,102,82.157891
172.155137,99,82.593396
184.030117,105,83.060964
179.978142,102,83.518772
176.796797,101,83.956777
184.063667,105,84.452657
180.051431,102,84.905227
