#{"t_start": 1750208092.1173272, "env_id": "None"}
r,l,t
182.421818,104,7.883169
179.152505,103,8.582961
168.027163,96,9.00598
172.598583,98,9.387246
173.803768,99,9.986591
177.825903,102,10.878823
172.559439,98,11.272228
173.301895,100,11.701584
166.675061,95,12.058809
167.416257,97,12.452827
185.026182,106,12.870599
185.097115,106,13.290855
188.349416,107,14.165907
183.736911,105,14.568311
183.743641,105,14.997204
176.539289,101,15.409981
176.582749,101,15.787748
178.477375,101,16.172065
179.114498,103,16.562467
175.150448,100,16.95888
176.55566,101,30.695381
166.710282,95,31.061059
186.354064,107,31.52161
182.416135,104,31.974607
145.762178,85,32.74773
182.437571,104,33.159535
189.541141,108,33.594523
173.940138,99,34.049287
182.505294,104,34.479419
182.43106,104,34.894848
175.224427,100,35.317507
182.395214,104,35.730929
185.068368,106,36.15737
169.271736,97,36.539888
172.516732,98,36.938942
166.674468,95,37.32591
155.539152,88,37.683928
168.031789,96,38.467156
179.145357,103,38.86995
168.097885,96,39.243792
181.120155,103,53.950151
171.20421,97,54.384761
188.345063,107,54.857376
167.417543,97,55.30022
170.627274,98,55.735585
172.627019,98,56.168609
170.69965,98,56.603899
176.621331,101,57.050084
187.688691,108,57.539098
179.760539,102,58.409825
170.697989,98,58.849176
173.296991,100,59.292716
168.035907,96,59.755017
187.706585,108,60.262705
177.866407,102,60.730762
164.815259,95,61.152446
173.941405,99,61.592372
176.478927,101,62.038581
166.680156,95,62.45657
175.908587,102,62.907763
177.829467,102,63.395554
177.863902,102,78.384977
181.147712,103,79.454179
177.831529,102,79.912528
173.98194,99,80.400034
177.873454,102,80.860695
183.755905,105,81.337958
169.346597,97,81.774022
154.244888,90,82.16931
159.504254,91,82.576397
176.53726,101,83.030404
177.050159,100,83.464903
182.358177,104,83.954178
178.473145,101,84.404397
218.963812,123,85.733567
