#{"t_start": 1750208091.8696945, "env_id": "None"}
r,l,t
176.501418,101,8.11269
179.073511,103,8.789477
172.502556,98,9.248885
177.784789,102,9.646931
186.985977,106,10.282265
181.070406,103,11.172194
179.061556,103,11.606205
177.824258,102,12.019306
172.549138,98,12.392004
177.760899,102,12.80145
175.083107,100,13.205913
176.469594,101,13.602689
175.125172,100,14.444583
179.137527,103,14.840877
175.818582,102,15.256717
171.234435,97,15.653173
191.425468,108,16.058249
171.945197,99,16.434999
182.352127,104,16.826843
175.15018,100,17.224097
173.26378,100,30.959543
183.667809,105,31.362181
175.716354,99,31.794838
179.068221,103,32.244315
173.151403,100,33.073251
183.669067,105,33.491287
189.503859,108,33.929441
180.459247,104,34.400191
176.515147,101,34.818871
179.103207,103,35.232146
181.713849,105,35.671965
183.022418,106,36.092385
180.350112,104,36.511814
187.542659,108,36.940565
177.751125,102,37.357351
181.701671,105,37.784865
179.065234,103,38.599307
182.348159,104,39.013116
188.263107,107,39.426124
189.547011,108,54.130427
189.583608,108,54.627062
173.795476,99,55.065461
180.338823,104,55.536563
186.336154,107,56.013354
186.295402,107,56.490203
165.948678,96,56.915645
181.068416,103,57.371239
183.674845,105,57.846894
182.317212,104,58.728578
176.429082,101,59.179832
179.103262,103,59.649666
171.864945,99,60.111028
181.028709,103,60.605526
188.189813,107,61.08766
181.745084,105,61.551646
194.102237,110,62.043377
173.148695,100,62.483138
180.919587,103,62.934289
182.416003,104,63.398127
175.079104,100,78.280056
171.908587,99,79.439181
171.904601,99,79.913779
176.400523,101,80.392807
169.24682,97,80.839544
163.404254,94,81.258001
179.676698,102,81.716736
182.366419,104,82.183743
160.716872,92,82.588713
167.23438,97,83.025702
170.638433,98,83.459957
175.152064,100,83.920241
189.540937,108,84.414128
190.930196,109,84.8991
