#{"t_start": 1750208092.3639958, "env_id": "None"}
r,l,t
193.15827,109,7.66673
170.868222,98,8.336675
176.734505,101,8.779473
178.194014,102,9.182789
180.015778,102,9.80039
179.980779,102,10.682182
180.0032,102,11.11205
175.446336,100,11.517286
191.231215,109,11.934387
172.762393,98,12.328058
178.725866,101,12.736745
163.684453,94,13.10361
192.595534,110,13.984415
195.801749,111,14.413153
180.057991,102,14.833073
176.807678,101,15.23724
188.624211,107,15.64171
193.129055,109,16.051576
188.541883,107,16.458823
191.19436,109,30.22704
186.701517,107,30.658563
189.939469,108,31.073658
184.012034,105,31.557804
179.981851,102,31.998305
194.448824,110,32.842625
178.659515,101,33.249135
175.477949,100,33.705299
179.438725,103,34.133914
169.584581,97,34.5246
170.156057,96,34.912607
185.944575,105,35.345552
181.338691,103,35.758767
181.338956,103,36.172163
193.095433,109,36.611122
177.376358,100,37.018543
186.624137,107,37.453389
174.867884,101,38.256198
178.726808,101,38.65046
184.015141,105,39.070258
169.545606,97,53.749712
185.948253,105,54.216199
170.900234,98,54.650201
163.717203,94,55.080147
179.472981,103,55.536479
188.477812,107,56.015181
181.369667,103,56.47039
197.037518,112,56.970061
183.955563,105,57.443535
180.702123,104,58.324708
193.900937,111,58.81941
160.393309,93,59.260697
173.482463,100,59.719551
176.811018,101,60.201991
157.783457,91,60.607034
185.338111,106,61.076161
179.449013,103,61.535443
182.660877,104,61.993596
173.592122,100,62.43101
187.987281,108,62.913049
181.26294,103,77.807265
178.088841,102,78.997445
174.12801,99,79.455183
191.235154,109,79.970908
188.013769,108,80.467584
178.734423,101,80.913885
181.372947,103,81.392109
183.384753,106,81.857994
171.438031,97,82.285757
192.442952,110,82.78305
199.755078,114,83.282605
189.946838,108,83.791129
185.94587,105,84.256768
