#{"t_start": 1750208091.3454294, "env_id": "None"}
r,l,t
180.160716,102,8.644988
195.297549,112,9.42392
175.569163,100,9.823375
182.827434,104,10.236502
190.023302,108,10.972497
191.324096,109,11.782265
174.953917,101,12.220811
187.321402,106,12.635636
198.628639,113,13.07543
182.823071,104,13.478459
192.616878,110,13.929342
197.257589,112,14.822943
185.396369,106,15.231801
181.430603,103,15.651282
195.29963,112,16.104746
181.527423,103,16.494018
176.897199,101,16.873117
192.625418,110,17.291581
187.309457,106,17.693151
185.452343,106,31.468295
187.334065,106,31.874769
184.63008,104,32.330999
185.449077,106,32.790971
174.221469,99,33.614037
188.661185,107,34.039451
176.865061,101,34.449763
189.977381,108,34.939736
178.122148,102,35.358257
170.9968,98,35.752385
190.017995,108,36.205116
185.415804,106,36.62535
175.61932,100,37.028878
188.019224,108,37.456539
179.548902,103,37.878083
184.729099,104,38.30093
188.737358,107,39.131517
174.978505,101,39.533968
176.271002,102,39.926357
179.586227,103,54.604594
187.360592,106,55.088988
194.518682,110,55.580538
181.444567,103,56.046268
187.375116,106,56.520284
194.547926,110,57.009766
197.21097,112,57.506956
184.044937,105,57.974901
179.509659,103,58.437772
176.868978,101,59.307084
195.260765,112,59.806137
189.968417,108,60.315142
174.220015,99,60.770963
193.985804,111,61.295415
186.691801,107,61.774203
201.181461,115,62.280459
186.766716,107,62.752428
190.052273,108,63.228506
190.020564,108,63.707713
193.934646,111,64.248124
189.945546,108,79.6889
178.835326,101,80.317637
178.748235,101,80.776375
176.836966,101,81.265184
166.363808,96,81.692549
170.961972,98,82.137873
184.171034,105,82.611515
186.689081,107,83.078931
169.689423,97,83.514701
187.308105,106,83.985064
184.130842,105,84.471235
179.515939,103,84.939121
184.122425,105,85.4062
