#{"t_start": 1750208092.4914577, "env_id": "None"}
r,l,t
175.757617,100,7.484162
178.309627,102,8.100201
167.083157,95,8.605732
192.03331,108,9.031355
188.786337,107,9.672056
188.794486,107,10.573376
198.732529,113,11.054832
188.799253,107,11.47819
149.272039,86,11.807255
184.895079,107,12.236447
180.999701,104,12.657444
194.760732,110,13.089495
180.919036,104,13.945594
188.791668,107,14.372446
184.81401,104,14.799448
184.239715,105,15.20051
208.565383,119,15.648601
165.762539,94,16.005332
179.66679,103,16.393265
192.755795,110,30.167909
180.187151,102,30.57992
188.793979,107,30.999737
181.568056,103,31.472777
186.812155,107,32.338496
182.958868,104,32.753116
192.767721,110,33.195581
169.747523,97,33.639922
175.65748,100,34.056237
178.374212,102,34.46329
187.499319,106,34.909709
180.913482,104,35.322534
185.625197,106,35.748996
169.736385,97,36.135124
185.572878,106,36.564136
192.830022,110,37.011637
186.865219,107,37.852709
182.920909,104,38.25688
182.922094,104,38.662518
169.696894,97,39.057065
178.937978,101,53.760091
171.704974,97,54.191921
184.216609,105,54.665406
190.082088,108,55.149582
175.080156,101,55.594843
185.578614,106,56.063441
185.533602,106,56.539513
197.340475,112,57.037651
187.500713,106,57.926149
184.816948,104,58.403017
179.600192,103,58.857291
179.629609,103,59.347143
194.128615,111,59.862438
188.852485,107,60.362616
191.403088,109,60.844188
177.041425,101,61.296759
173.039723,98,61.724207
182.290983,105,62.191888
190.113384,108,62.668334
195.432612,112,77.603389
185.534151,106,78.742464
178.305422,102,79.281476
188.214501,108,79.795084
172.439338,99,80.252986
181.632389,103,80.705575
197.944255,111,81.216329
188.832326,107,81.690335
188.89309,107,82.163387
184.815161,104,82.6318
192.763938,110,83.112294
192.045879,108,83.621607
184.310268,105,84.088623
