#{"t_start": 1750208092.3007808, "env_id": "None"}
r,l,t
197.257325,112,7.747324
182.852933,104,8.476753
182.878562,104,8.889712
191.394908,109,9.323711
182.865243,104,10.135978
188.716056,107,10.845805
184.127057,105,11.303481
175.715061,100,11.691748
186.079738,105,12.099212
186.768604,107,12.516077
190.110374,108,12.96027
175.578526,100,13.809255
184.186336,105,14.206022
176.930283,101,14.617504
182.831839,104,15.04515
179.581236,103,15.435738
171.630226,97,15.803132
190.076541,108,16.212039
154.643646,90,16.552048
194.070568,111,30.327549
185.480255,106,30.755327
192.711128,110,31.18545
184.181711,105,31.667716
167.616137,94,32.074739
186.862356,107,32.905662
184.109449,105,33.329025
195.958189,111,33.830539
190.057997,108,34.27949
184.135054,105,34.697982
188.771925,107,35.148599
176.970161,101,35.551097
179.644615,103,35.965162
188.153458,108,36.391042
192.709455,110,36.838296
186.117972,105,37.26545
180.166799,102,38.086337
186.12558,105,38.496684
184.75244,104,38.901235
182.867975,104,39.32073
174.357068,99,54.022702
186.123308,105,54.49345
184.233186,105,54.968121
171.069106,98,55.405786
188.651108,107,55.877967
184.800483,104,56.343573
180.191384,102,56.793971
179.588329,103,57.258957
182.888237,104,58.137177
191.951247,108,58.627101
171.709719,97,59.057499
197.301258,112,59.592643
180.225623,102,60.062641
192.701589,110,60.574505
182.873592,104,61.035076
185.472175,106,61.509929
173.646095,100,61.94469
174.216473,99,62.386664
186.055205,105,62.849126
180.141598,102,77.741953
180.188947,102,78.779721
191.436829,109,79.429028
184.185424,105,79.922247
188.131356,108,80.428826
176.976031,101,80.874664
176.971907,101,81.333451
191.406938,109,81.820558
182.87456,104,82.279865
178.329731,102,82.739392
188.153998,108,83.210129
184.1577,105,83.7065
180.248373,102,84.163321
